id_article,authors,title,year,volume,first_page,last_page,pubmed,medline
2476,"Murali Manoj, K.",Chlorinations catalyzed by chloroperoxidase occur via diffusible intermediate(s) and the reaction components play multiple roles in the overall process.,2006,1764,1325,1339,16870515,NULL
2477,"Kuehnel, K., Blankenfeldt, W., Terner, J., Schlichting, I.","Crystal structures of chloroperoxidase with its bound substrates and complexed with formate, acetate, and nitrate.",2006,281,23990,23998,16790441,NULL
2478,"Manoj, K. M., Hager, L. P.","Chloroperoxidase, a janus enzyme.",2008,47,2997,3003,18220360,NULL
2479,"Shigeoka, S., Nakano, Y. and Kitaoka, S.",Purification and some properties of L-ascorbic-acid-specific peroxidase in Euglena gracilis. Z.,1980,201,121,127,6772104,80240882
2480,"Shigeoka, S., Nakano, Y. and Kitaoka, S.",Metabolism of hydrogen peroxide in Euglena gracilis Z by L-ascorbic acid peroxidase.,1980,186,377,380,6768357,80174863
2481,"Nakano, Y and Asada, K.",Purification of ascorbate peroxidase in spinach chloroplasts; its inactivation in ascorbate-depleted medium and reactivation by monodehydroascorbate radical.,1987,28,131,140,NULL,NULL
2482,"Patterson, W. R., Poulos, T. L.",Crystal structure of recombinant pea cytosolic ascorbate peroxidase.,1995,34,4331,4341,7703247,NULL
2483,"Sharp, K. H., Moody, P. C., Brown, K. A., Raven, E. L.",Crystal structure of the ascorbate peroxidase-salicylhydroxamic acid complex.,2004,43,8644,8651,15236572,NULL
2484,"Macdonald, I. K., Badyal, S. K., Ghamsari, L., Moody, P. C., Raven, E. L.",Interaction of ascorbate peroxidase with substrates: a mechanistic and structural analysis.,2006,45,7808,7817,16784232,NULL
2485,"Ursini, F., Maiorino, M. and Gregolin, C.",The selenoenzyme phospholipid hydroperoxide glutathione peroxidase.,1985,839,62,70,3978121,85150234
2486,"Glenn, J.K., Akileswaran, L. and Gold, M.H.",Mn(II) oxidation is the principal function of the extracellular Mn-peroxidase from Phanerochaete chrysosporium.,1986,251,688,696,NULL,NULL
2487,"Paszczynski, A., Huynh, V.-B. and Crawford, R.",Comparison of ligninase-I and peroxidase-M2 from the white-rot fungus Phanerochaete chrysosporium.,1986,244,750,765,3080953,86129421
2488,"Wariishi, H., Akileswaran, L. and Gold, M.H.",Manganese peroxidase from the basidiomycete Phanerochaete chrysosporium: spectral characterization of the oxidized states and the catalytic cycle.,1988,27,5365,5370,NULL,NULL
2489,"Kersten, P.J., Tien, M., Kalyanaraman, B., Kirk, T.K.",The ligninase of Phanerochaete chrysosporium generates cation radicals from methoxybenzenes.,1985,260,2609,2612,2982828,86129421
2490,"Paszczynski, A., Huynh, V.-B., Crawford, R.",Comparison of ligninase-I and peroxidase-M2 from the white-rot fungus Phanerochaete chrysosporium.,1986,244,750,765,3080953,85278211
2491,"Harvey, P.J., Schoemaker, H.E. and Palmer, J.M.",Veratryl alcohol as a mediator and the role of radical cations in lignin biodegradation by Phanerochaete chrysosporium.,1986,195,242,246,NULL,NULL
2492,"Doyle, W.A., Blodig, W., Veitch, N.C., Piontek, K. and Smith, A.T.",Two substrate interaction sites in lignin peroxidase revealed by site-directed mutagenesis.,1998,37,15097,15105,9790672,NULL
2493,"Wariishi, H., Marquez, L., Dunford, H.B. and Gold, M.H.",Lignin peroxidase compounds II and III. Spectral and kinetic characterization of reactions with peroxides.,1990,265,11137,11142,2162833,NULL
2494,"Cai, D.Y. and Tien, M.",Characterization of the oxycomplex of lignin peroxidases from Phanerochaete chrysosporium: equilibrium and kinetics studies.,1990,29,2085,2091,2328240,NULL
2495,"Khindaria, A., Yamazaki, I., Aust, S. D.",Veratryl alcohol oxidation by lignin peroxidase.,1995,34,16860,16869,8527462,NULL
2496,"Khindaria, A., Yamazaki, I., Aust, S. D.",Stabilization of the veratryl alcohol cation radical by lignin peroxidase.,1996,35,6418,6424,8639588,NULL
2497,"Khindaria, A., Nie, G., Aust, S. D.",Detection and characterization of the lignin peroxidase compound II-veratryl alcohol cation radical complex.,1997,36,14181,14185,9369491,NULL
2498,"Wood, Z.A., Schroeder, E., Harris, J.R. and Poole, L.B.","Structure, mechanism and regulation of peroxiredoxins.",2003,28,32,40,NULL,NULL
2499,"Hofmann, B., Hecht, H J. and Flohe, L.",Peroxiredoxins.,2002,383,347,364,12033427,NULL
2500,"Seo, M.S., Kang, S.W., Kim, K., Baines, I.C., Lee, T.H. and Rhee, S.G.",Identification of a new type of mammalian peroxiredoxin that forms an intramolecular disulfide as a reaction intermediate.,2000,275,20346,20354,10751410,NULL
2501,"Choi, H.J., Kang, S.W., Yang, C.H., Rhee, S.G. and Ryu, S.E.",Crystal structure of a novel human peroxidase enzyme at 2.0 A resolution.,1998,5,400,406,9587003,NULL
2502,"Martinez, M.J., Ruiz-Duenas, F. J., Guillen, F. and Martinez, A.T.",Purification and catalytic properties of two manganese peroxidase isoenzymes from Pleurotus eryngii.,1996,237,424,432,8647081,NULL
2503,"Heinfling, A., Ruiz-Duenas, F.J., Martinez, M.J., Bergbauer, M., Szewzyk, U. and Martinez, A.T.",A study on reducing substrates of manganese-oxidizing peroxidases from Pleurotus eryngii and Bjerkandera adusta.,1998,428,141,146,9654123,NULL
2504,"Ruiz-Duenas, F.J., Martinez, M.J. and Martinez, A.T.",Molecular characterization of a novel peroxidase isolated from the ligninolytic fungus Pleurotus eryngii.,1999,31,223,235,9987124,NULL
2505,"Camarero, S., Sarkar, S., Ruiz-Duenas, F.J., Martinez, M.J. and Martinez, A.T.",Description of a versatile peroxidase involved in the natural degradation of lignin that has both manganese peroxidase and lignin peroxidase substrate interaction sites.,1999,274,10324,10330,10187820,NULL
2506,"Ruiz-Duenas, F.J., Martinez, M.J. and Martinez, A.T.",Heterologous expression of Pleurotus eryngii peroxidase confirms its ability to oxidize Mn(2+) and different aromatic substrates.,1999,65,4705,4707,10508113,NULL
2507,"Camarero, S., Ruiz-Duenas, F.J., Sarkar, S., Martinez, M.J. and Martinez, A.T.",The cloning of a new peroxidase found in lignocellulose cultures of Pleurotus eryngii and sequence comparison with other fungal peroxidases.,2000,191,37,43,11004397,NULL
2508,"Ruiz-Duenas, F.J., Camarero, S., Perez-Boada, M., Martinez, M.J. and Martinez, A.T.",A new versatile peroxidase from Pleurotus.,2001,29,116,122,11356138,NULL
2509,"Banci, L., Camarero, S., Martinez, A.T., Martinez, M.J., Perez-Boada, M., Pierattelli, R. and Ruiz-Duenas, F.J.",NMR study of manganese(II) binding by a new versatile peroxidase from the white-rot fungus Pleurotus eryngii.,2003,8,751,760,12884090,NULL
2510,"Perez-Boada, M., Ruiz-Duenas, F.J., Pogni, R., Basosi, R., Choinowski, T., Martinez, M.J., Piontek, K. and Martinez, A. T.","Versatile peroxidase oxidation of high redox potential aromatic compounds: site-directed mutagenesis, spectroscopic and crystallographic investigation of three long-range electron transfer pathways.",2005,354,385,402,16246366,NULL
2511,"Caramelo, L., Martinez, M.J. and Martinez, A.T.",A search for ligninolytic peroxidases in the fungus Pleurotus eryngii involving alpha-keto-gamma-thiomethylbutyric acid and lignin model dimers,1999,65,916,922,10049842,NULL
2512,"Vergauwen, B., Pauwels, F., Jacquemotte, F., Meyer, T. E., Cusanovich, M. A., Bartsch, R. G., Van Beeumen, J. J.",Characterization of clutathione amide reductase from Chromatium gracile. Identification of a novel thiol peroxidase (Prx/Grx) fueled by glutathione amide redox cycling.,2001,276,20890,20897,11399772,NULL
2513,"De Boer, E., Tromp, M.G.M., Plat, H., Krenn, G.E. and Wever, R.",Vanadium(V) as an essential element for haloperoxidase activity in marine brown-algae - purification and characterization of a vanadium(V)-containing bromoperoxidase from Laminaria saccharina.,1986,872,104,115,NULL,NULL
2514,"Tromp, M. G., Olafsson, G., Krenn, B. E., Wever, R.",Some structural aspects of vanadium bromoperoxidase from Ascophyllum nodosum.,1990,1040,192,198,2400770,NULL
2515,"Isupov, M. N., Dalby, A. R., Brindley, A. A., Izumi, Y., Tanabe, T., Murshudov, G. N., Littlechild, J. A.",Crystal structure of dodecameric vanadium-dependent bromoperoxidase from the red algae Corallina officinalis.,2000,299,1035,1049,10843856,NULL
2516,"Carter-Franklin, J. N., Butler, A.",Vanadium bromoperoxidase-catalyzed biosynthesis of halogenated marine natural products.,2004,126,15060,15066,15548002,NULL
2517,"Ohshiro, T., Littlechild, J., Garcia-Rodriguez, E., Isupov, M. N., Iida, Y., Kobayashi, T., Izumi, Y.",Modification of halogen specificity of a vanadium-dependent bromoperoxidase.,2004,13,1566,1571,15133166,NULL
2518,"Kim, S. J., Shoda, M.",Purification and characterization of a novel peroxidase from Geotrichum candidum dec 1 involved in decolorization of dyes.,1999,65,1029,1035,10049859,NULL
2519,"Sugano, Y., Ishii, Y., Shoda, M.",Role of H164 in a unique dye-decolorizing heme peroxidase DyP.,2004,322,126,132,15313183,NULL
2520,"Zubieta, C., Joseph, R., Krishna, S. S., McMullan, D., Kapoor, M., Axelrod, H. L., Miller, M. D., Abdubek, P., Acosta, C., Astakhova, T., Carlton, D., Chiu, H. J., Clayton, T., Deller, M. C., Duan, L., Elias, Y., Elsliger, M. A., Feuerhelm, J., Grzechnik, S. K., Hale, J., Han, G. W., Jaroszewski, L., Jin, K. K., Klock, H. E., Knuth, M. W., Kozbial, P., Kumar, A., Marciano, D., Morse, A. T., Murphy, K. D., Nigoghossian, E., Okach, L., Oommachen, S., Reyes, R., Rife, C. L., Schimmel, P., Trout, C. V., van den Bedem, H., Weekes, D., White, A., Xu, Q., Hodgson, K. O., Wooley, J., Deacon, A. M., Godzik, A., Lesley, S. A., Wilson, I. A.","Identification and structural characterization of heme binding in a novel dye-decolorizing peroxidase, TyrA.",2007,69,234,243,17654547,NULL
2521,"Sugano, Y., Matsushima, Y., Tsuchiya, K., Aoki, H., Hirai, M., Shoda, M.",Degradation pathway of an anthraquinone dye catalyzed by a unique peroxidase DyP from Thanatephorus cucumeris Dec 1.,2009,20,433,440,19009358,NULL
2522,"Sugano, Y.",DyP-type peroxidases comprise a novel heme peroxidase family.,2009,66,1387,1403,19099183,NULL
2523,"Ogola, H. J., Kamiike, T., Hashimoto, N., Ashida, H., Ishikawa, T., Shibata, H., Sawa, Y.",Molecular characterization of a novel peroxidase from the cyanobacterium Anabaena sp. strain PCC 7120.,2009,75,7509,7518,19801472,NULL
2524,"Van Bloois, E., Torres Pazmino, D. E., Winter, R. T., Fraaije, M. W.",A robust and extracellular heme-containing peroxidase from Thermobifida fusca as prototype of a bacterial peroxidase superfamily.,2010,86,1419,1430,19967355,NULL
2525,"Liers, C., Bobeth, C., Pecyna, M., Ullrich, R., Hofrichter, M.",DyP-like peroxidases of the jelly fungus Auricularia auricula-judae oxidize nonphenolic lignin model compounds and high-redox potential dyes.,2010,85,1869,1879,19756587,NULL
2526,"Hofrichter, M., Ullrich, R., Pecyna, M. J., Liers, C., Lundell, T.",New and classic families of secreted fungal heme peroxidases.,2010,87,871,897,20495915,NULL
2527,"Moriuchi, H., Koda, N., Okuda-Ashitaka, E., Daiyasu, H., Ogasawara, K., Toh, H., Ito, S., Woodward, D. F., Watanabe, K.","Molecular characterization of a novel type of prostamide/prostaglandin F synthase, belonging to the thioredoxin-like superfamily.",2008,283,792,801,18006499,NULL
2528,"Yoshikawa, K., Takei, S., Hasegawa-Ishii, S., Chiba, Y., Furukawa, A., Kawamura, N., Hosokawa, M., Woodward, D. F., Watanabe, K., Shimada, A.",Preferential localization of prostamide/prostaglandin F synthase in myelin sheaths of the central nervous system.,2011,1367,22,32,20950588,NULL
2529,"Loewen, P. C., Triggs, B. L., George, C. S., Hrabarchuk, B. E.","Genetic mapping of katG, a locus that affects synthesis of the bifunctional catalase-peroxidase hydroperoxidase I in Escherichia coli.",1985,162,661,667,3886630,NULL
2530,"Hochman, A., Goldberg, I.",Purification and characterization of a catalase-peroxidase and a typical catalase from the bacterium Klebsiella pneumoniae.,1991,1077,299,307,2029529,NULL
2531,"Fraaije, M. W., Roubroeks, H. P., Hagen, W. R., Van Berkel, W. J.",Purification and characterization of an intracellular catalase-peroxidase from Penicillium simplicissimum.,1996,235,192,198,8631329,NULL
2532,"Bertrand, T., Eady, N.A., Jones, J.N., Jesmin, Nagy, J.M., Jamart-Gregoire, B., Raven, E.L. and Brown, K.A.",Crystal structure of Mycobacterium tuberculosis catalase-peroxidase.,2004,279,38991,38999,15231843,NULL
2533,"Vlasits, J., Jakopitsch, C., Bernroitner, M., Zamocky, M., Furtmuller, P. G., Obinger, C.",Mechanisms of catalase activity of heme peroxidases.,2010,500,74,81,20434429,NULL
2534,"Gaber, A., Tamoi, M., Takeda, T., Nakano, Y., Shigeoka, S.","NADPH-dependent glutathione peroxidase-like proteins (G-Px-1, G-Px-2) reduce unsaturated fatty acid hydroperoxides in Synechocystis PCC 6803.",2001,499,32,36,11418106,NULL
2535,"Gaber, A., Yoshimura, K., Tamoi, M., Takeda, T., Nakano, Y., Shigeoka, S.",Induction and functional analysis of two reduced nicotinamide adenine dinucleotide phosphate-dependent glutathione peroxidase-like proteins in Synechocystis PCC 6803 during the progression of oxidative stress.,2004,136,2855,2861,15347790,NULL
2536,"Ullrich, R., Nuske, J., Scheibner, K., Spantzel, J., Hofrichter, M.",Novel haloperoxidase from the agaric basidiomycete Agrocybe aegerita oxidizes aryl alcohols and aldehydes.,2004,70,4575,4581,15294788,NULL
2537,"Ullrich, R., Hofrichter, M.",The haloperoxidase of the agaric fungus Agrocybe aegerita hydroxylates toluene and naphthalene.,2005,579,6247,6250,16253244,NULL
2538,"Anh, D. H., Ullrich, R., Benndorf, D., Svatos, A., Muck, A., Hofrichter, M.",The coprophilous mushroom Coprinus radians secretes a haloperoxidase that catalyzes aromatic peroxygenation.,2007,73,5477,5485,17601809,NULL
2539,"Aranda, E., Kinne, M., Kluge, M., Ullrich, R., Hofrichter, M.",Conversion of dibenzothiophene by the mushrooms Agrocybe aegerita and Coprinellus radians and their extracellular peroxygenases.,2009,82,1057,1066,19039585,NULL
2540,"Kinne, M., Poraj-Kobielska, M., Aranda, E., Ullrich, R., Hammel, K. E., Scheibner, K., Hofrichter, M.",Regioselective preparation of 5-hydroxypropranolol and 4'-hydroxydiclofenac with a fungal peroxygenase.,2009,19,3085,3087,19394224,NULL
2541,"Kluge, M., Ullrich, R., Dolge, C., Scheibner, K., Hofrichter, M.",Hydroxylation of naphthalene by aromatic peroxygenase from Agrocybe aegerita proceeds via oxygen transfer from H(2)O(2) and intermediary epoxidation.,2009,81,1071,1076,18815784,NULL
2542,"Ullrich, R., Dolge, C., Kluge, M., Hofrichter, M.",Pyridine as novel substrate for regioselective oxygenation with aromatic peroxygenase from Agrocybe aegerita.,2008,582,4100,4106,19022254,NULL
2543,"Kinne, M., Poraj-Kobielska, M., Ralph, S. A., Ullrich, R., Hofrichter, M., Hammel, K. E.",Oxidative cleavage of diverse ethers by an extracellular fungal peroxygenase.,2009,284,29343,29349,19713216,NULL
2544,"Pecyna, M. J., Ullrich, R., Bittner, B., Clemens, A., Scheibner, K., Schubert, R., Hofrichter, M.",Molecular characterization of aromatic peroxygenase from Agrocybe aegerita.,2009,84,885,897,19434406,NULL
2545,"Agner, K.",Myeloperoxidase.,1943,3,137,148,NULL,NULL
2546,"Harrison, J. E., Schultz, J.",Studies on the chlorinating activity of myeloperoxidase.,1976,251,1371,1374,176150,NULL
2547,"Furtmuller, P. G., Burner, U., Obinger, C.","Reaction of myeloperoxidase compound I with chloride, bromide, iodide, and thiocyanate.",1998,37,17923,17930,9922160,NULL
2548,"Tuynman, A., Spelberg, J. L., Kooter, I. M., Schoemaker, H. E., Wever, R.",Enantioselective epoxidation and carbon-carbon bond cleavage catalyzed by Coprinus cinereus peroxidase and myeloperoxidase.,2000,275,3025,3030,10652281,NULL
2549,"Klebanoff, S. J.",Myeloperoxidase: friend and foe.,2005,77,598,625,15689384,NULL
2550,"Fiedler, T. J., Davey, C. A., Fenna, R. E.",X-ray crystal structure and characterization of halide-binding sites of human myeloperoxidase at 1.8 A resolution.,2000,275,11964,11971,10766826,NULL
2551,"Gaut, J. P., Yeh, G. C., Tran, H. D., Byun, J., Henderson, J. P., Richter, G. M., Brennan, M. L., Lusis, A. J., Belaaouaj, A., Hotchkiss, R. S., Heinecke, J. W.",Neutrophils employ the myeloperoxidase system to generate antimicrobial brominating and chlorinating oxidants during sepsis.,2001,98,11961,11966,11593004,NULL
2552,"Ishimaru, A.",Purification and characterization of solubilized peroxygenase from microsomes of pea seeds.,1979,254,8427,8433,468835,NULL
2553,"Blee, E., Wilcox, A. L., Marnett, L. J., Schuber, F.",Mechanism of reaction of fatty acid hydroperoxides with soybean peroxygenase.,1993,268,1708,1715,8420948,NULL
2554,"Hamberg, M., Hamberg, G.","Peroxygenase-catalyzed fatty acid epoxidation in cereal seeds (sequential oxidation of linoleic acid into 9(S),12(S),13(S)-trihydroxy-10(E)-octadecenoic acid).",1996,110,807,815,12226220,NULL
2555,"Lequeu, J., Fauconnier, M. L., Chammai, A., Bronner, R., Blee, E.",Formation of plant cuticle: evidence for the occurrence of the peroxygenase pathway.,2003,36,155,164,14535881,NULL
2556,"Hanano, A., Burcklen, M., Flenet, M., Ivancich, A., Louwagie, M., Garin, J., Blee, E.",Plant seed peroxygenase is an original heme-oxygenase with an EF-hand calcium binding motif.,2006,281,33140,33151,16956885,NULL
2557,"Matsunaga, I., Yamada, M., Kusunose, E., Nishiuchi, Y., Yano, I., Ichihara, K.",Direct involvement of hydrogen peroxide in bacterial alpha-hydroxylation of fatty acid.,1996,386,252,254,8647293,NULL
2558,"Matsunaga, I., Yamada, M., Kusunose, E., Miki, T., Ichihara, K.",Further characterization of hydrogen peroxide-dependent fatty acid alpha-hydroxylase from Sphingomonas paucimobilis.,1998,124,105,110,9644252,NULL
2559,"Matsunaga, I., Ueda, A., Fujiwara, N., Sumimoto, T., Ichihara, K.",Characterization of the ybdT gene product of Bacillus subtilis: novel fatty acid beta-hydroxylating cytochrome P450.,1999,34,841,846,10529095,NULL
2560,"Imai, Y., Matsunaga, I., Kusunose, E., Ichihara, K.",Unique heme environment at the putative distal region of hydrogen peroxide-dependent fatty acid alpha-hydroxylase from Sphingomonas paucimobilis (peroxygenase P450(SP-alpha).,2000,128,189,194,10920253,NULL
2561,"Matsunaga, I., Yamada, A., Lee, D. S., Obayashi, E., Fujiwara, N., Kobayashi, K., Ogura, H., Shiro, Y.",Enzymatic reaction of hydrogen peroxide-dependent peroxygenase cytochrome P450s: kinetic deuterium isotope effects and analyzes by resonance Raman spectroscopy.,2002,41,1886,1892,11827534,NULL
2562,"Lee, D. S., Yamada, A., Sugimoto, H., Matsunaga, I., Ogura, H., Ichihara, K., Adachi, S., Park, S. Y., Shiro, Y.","Substrate recognition and molecular mechanism of fatty acid hydroxylation by cytochrome P450 from Bacillus subtilis. Crystallographic, spectroscopic, and mutational studies.",2003,278,9761,9767,12519760,NULL
2563,"Matsunaga, I., Shiro, Y.",Peroxide-utilizing biocatalysts: structural and functional diversity of heme-containing enzymes.,2004,8,127,132,15062772,NULL
2564,"Shoji, O., Wiese, C., Fujishiro, T., Shirataki, C., Wunsch, B., Watanabe, Y.",Aromatic C-H bond hydroxylation by P450 peroxygenases: a facile colorimetric assay for monooxygenation activities of enzymes based on Russig's blue formation.,2010,15,1109,1115,20490877,NULL
2565,"Bone, D.H., Bernstein, S. and Vishniac, W.",Purification and some properties of different forms of hydrogen dehydrogenase. ,1963,67,581,588,NULL,NULL
2566,"Schneider, K. and Schlegel, H.G.",Purification and properties of soluble hydrogenase from Alcaligenes eutrophus H 16.,1976,452,66,80,186126,NULL
2567,"De Luca, G., de Philip, P., Rousset, M., Belaich, J.P. and Dermoun, Z.",The NADP-reducing hydrogenase of Desulfovibrio fructosovorans: Evidence for a native complex with hydrogen-dependent methyl-viologen-reducing activity.,1998,248,591,596,9703971,NULL
2568,"Bryant, F. O., Adams, M. W.","Characterization of hydrogenase from the hyperthermophilic archaebacterium, Pyrococcus furiosus.",1989,264,5070,5079,2538471,NULL
2569,"Ma, K., Schicho, R. N., Kelly, R. M., Adams, M. W.",Hydrogenase of the hyperthermophile Pyrococcus furiosus is an elemental sulfur reductase or sulfhydrogenase: evidence for a sulfur-reducing hydrogenase ancestor.,1993,90,5341,5344,8389482,NULL
2570,"Ma, K., Zhou, Z.H. and Adams, M.W.","Hydrogen production from pyruvate by enzymes purified from the hyperthermophilic archaeon, Pyrococcus furiosus: A key role for NADPH.",1994,122,245,250,NULL,NULL
2571,"Van Haaster, D. J., Silva, P. J., Hagedoorn, P. L., Jongejan, J. A., Hagen, W. R.",Reinvestigation of the steady-state kinetics and physiological function of the soluble NiFe-hydrogenase I of Pyrococcus furiosus.,2008,190,1584,1587,18156274,NULL
2572,"Verhagen, M. F., O'Rourke, T., Adams, M. W.","The hyperthermophilic bacterium, Thermotoga maritima, contains an unusually complex iron-hydrogenase: amino acid sequence analyzes versus biochemical characterization.",1999,1412,212,229,10482784,NULL
2573,"Schut, G. J., Adams, M. W.",The iron-hydrogenase of Thermotoga maritima utilizes ferredoxin and NADH synergistically: a new perspective on anaerobic hydrogen production.,2009,191,4451,4457,19411328,NULL
2574,"Ma, K., Weiss, R., Adams, M. W.",Characterization of hydrogenase II from the hyperthermophilic archaeon Pyrococcus furiosus and assessment of its role in sulfur reduction.,2000,182,1864,1871,10714990,NULL
2575,"DerVartanian, D.V. and Le Gall, J.",A monomolecular electron transfer chain: structure and function of cytochrome c3.,1974,346,79,99,NULL,NULL
2576,"Higuchi, Y., Yasuoka, N., Kakudo, M., Katsube, Y., Yagi, T. and Inokuchi, H.",Single crystals of hydrogenase from Desulfovibrio vulgaris Miyazaki F.,1987,262,2823,2825,3546297,NULL
2577,"Rilkis, E. and Rittenberg, D.","Some observations on the enzyme, hydrogenase. ",1961,236,2526,2529,NULL,NULL
2578,"Sadana, J.C. and Morey, A.V.",Purification and properties of the hydrogenase of Desulfovibrio desulfuricans.,1961,50,153,163,NULL,NULL
2579,"Volbeda, A., Charon, M.H., Piras, C., Hatchikian, E.C., Frey, M. and Fontecillacamps, J.C.",Crystal-structure of the nickel-iron hydrogenase from Desulfovibrio gigas.,1995,373,580,587,7854413,NULL
2580,"Garcin, E., Vernede, X., Hatchikian, E.C., Volbeda, A., Frey, M. and Fontecilla-Camps, J.C.",The crystal structure of a reduced [NiFeSe] hydrogenase provides an image of the activated catalytic center.,1999,7,557,566,10378275,NULL
2581,"Dross, F., Geisler, V., Lenger, R., Theis, F., Krafft, T., Fahrenholz, F., Kojro, E., Duchene, A., Tripier, D., Juvenal, K. and Kroeger, A.",The quinone-reactive Ni/Fe-hydrogenase of Wolinella succinogenes.,1992,206,93,102,1587288,NULL
2582,"Dross, F., Geisler, V., Lenger, R., Theis, F., Krafft, T., Fahrenholz, F., Kojro, E., Duchene, A., Tripier, D., Juvenal, K. and Kroeger, A.",The quinone-reactive Ni/Fe-hydrogenase of Wolinella Succinogenes.,1993,214,949,950,8319698,NULL
2583,"Gross, R., Simon, J., Lancaster, C.R.D. and Kroger, A.",Identification of histidine residues in Wolinella succinogenes hydrogenase that are essential for menaquinone reduction by H-2.,1998,30,639,646,9822828,NULL
2584,"Bernhard, M., Benelli, B., Hochkoeppler, A., Zannoni, D. and Friedrich, B.",Functional and structural role of the cytochrome b subunit of the membrane-bound hydrogenase complex of Alcaligenes eutrophus H16.,1997,248,179,186,9310376,NULL
2585,"Ferber, D.M. and Maier, R.J.",Hydrogen-ubiquinone oxidoreductase activity by the Bradyrhizobium japonicum membrane-bound hydrogenase.,1993,110,257,264,8354459,NULL
2586,"Ishii, M., Omori, T., Igarashi, Y., Adachi, O., Ameyama, M. and Kodama, T.",Methionaquinone is a direct natural electron-acceptor for the membrane-bound hydrogenase in Hydrogenobacter thermophilus strain TK-6.,1991,55,3011,3016,NULL,NULL
2587,"Shug, A.L., Wilson, P.W., Green, D.E. and Mahler, H.R.",The role of molybdenum and flavin in hydrogenase.,1954,76,3355,3356,NULL,NULL
2588,"Tagawa, K. and Arnon, D.I.",Ferredoxin as electron carriers in photosynthesis and in the biological production and consumption of hydrogen gas.,1962,195,537,543,NULL,NULL
2589,"Valentine, R.C., Mortenson, L.E. and Carnahan, J.E.",The hydrogenase system of Clostridium pasteurianum.,1963,238,1141,1144,NULL,NULL
2590,"Zumft, W.G. and Mortenson, L.E.",The nitrogen-fixing complex of bacteria.,1975,416,1,52,164247,NULL
2591,"Adams, M.W.W.",The structure and mechanism of iron-hydrogenases.,1990,1020,115,145,2173950,NULL
2592,"Peters, J.W., Lanzilotta, W.N., Lemon, B.J. and Seefeldt, L.C.",X-ray crystal structure of the Fe-only hydrogenase (Cpl) from Clostridium pasteurianum to 1.8 Angstrom resolution.,1998,282,1853,1858,9836629,NULL
2593,"Adams, M.W.W., Mortenson, L.E. and Chen, J.-S.",Hydrogenase.,1981,594,105,176,6786341,NULL
2594,"Yamazaki, S.",A selenium-containing hydrogenase from Methanococcus vannielii. Identification of the selenium moiety as a selenocysteine residue.,1982,257,7926,7929,6211447,NULL
2595,"Fox, J.A., Livingston, D.J., Orme-Johnson, W.H. and Walsh, C.T.",8-hydroxy-5-deazaflavin-reducing hydrogenase from Methanobacterium thermoautotrophicum: 1. Purification and characterization.,1987,26,4219,4228,3663585,NULL
2596,"Muth, E., Morschel, E. and Klein, A.",Purification and characterization of an 8-hydroxy-5-deazaflavin-reducing hydrogenase from the archaebacterium Methanococcus voltae.,1987,169,571,577,3121317,NULL
2597,"Baron, S.F. and Ferry, J.G.",Purification and properties of the membrane-associated coenzyme F420-reducing hydrogenase from Methanobacterium formicicum.,1989,171,3846,3853,2738024,NULL
2598,"Zirngibl, C., Hedderich, R. and Thauer, R.K.","N(5),N(10)-Methylenetetrahydromethanopterin dehydrogenase from Methanobacterium thermoautotrophicum has hydrogenase activity.",1990,261,112,116,NULL,NULL
2599,"Klein, A., Fernandez, V.M. and Thauer, R.K.","H(2)-Forming N(5),N(10)-methylenetetrahydromethanopterin dehydrogenase: mechanism of H(2)-formation analyzed using hydrogen isotopes.",1995,368,203,206,7628605,NULL
2600,"Abken, H.J., Tietze, M., Brodersen, J., Baumer, S., Beifuss, U. and Deppenmeier, U.",Isolation and characterization of methanophenazine and function of phenazines in membrane-bound electron transport of Methanosarcina mazei Goe1.,1998,180,2027,2032,9555882,NULL
2601,"Deppenmeier, U., Lienard, T. and Gottschalk, G.",Novel reactions involved in energy conservation by methanogenic archaea.,1999,457,291,297,10471795,NULL
2602,"Beifuss, U., Tietze, M., Baumer, S. and Deppenmeier, U.","Methanophenazine: structure, total synthesis, and function of a new cofactor from methanogenic Archaea.",2000,39,2470,2472,10941105,NULL
2603,"Zoephel, A., Kennedy, M.C., Beinert, H. and Kroneck, P.M.H.",Investigations on microbial sulfur respiration .1. Activation and reduction of elemental sulfur in several strains of Eubacteria.,1988,150,72,77,NULL,NULL
2604,"Ma, K., Schicho, R. N., Kelly, R. M., Adams, M. W.",Hydrogenase of the hyperthermophile Pyrococcus furiosus is an elemental sulfur reductase or sulfhydrogenase: evidence for a sulfur-reducing hydrogenase ancestor.,1993,90,5341,5344,8389482,NULL
2605,"Ma, K., Zhou, Z.H. and Adams, M.W.","Hydrogen production from pyruvate by enzymes purified from the hyperthermophilic archaeon, Pyrococcus furiosus: A key role for NADPH.",1994,122,245,250,NULL,NULL
2606,"Ma, K., Weiss, R., Adams, M. W.",Characterization of hydrogenase II from the hyperthermophilic archaeon Pyrococcus furiosus and assessment of its role in sulfur reduction.,2000,182,1864,1871,10714990,NULL
2607,"Shug, A.L., Wilson, P.W., Green, D.E. and Mahler, H.R.",The role of molybdenum and flavin in hydrogenase.,1954,76,3355,3356,NULL,NULL
2608,"Adams, M.W.W., Mortenson, L.E. and Chen, J.S.",Hydrogenase.,1981,594,105,176,NULL,NULL
